sitename,range,column,lat,lon,treatment,trait_description,cultivar,days_to_flag_leaf_emergence,date_of_flag_leaf_emergence,gdd_to_flag_leaf_emergence
MAC Field Scanner Season 4 Range 10 Column 8,10,8,33.0748711101981,-111.97493308365401,MAC Season 4: BAP water-deficit stress Aug 1-14,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",PI586435,64.0,2017-06-23,1100.0
MAC Field Scanner Season 4 Range 11 Column 8,11,8,33.0749070523206,-111.974933100099,MAC Season 4: BAP water-deficit stress Aug 1-14,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",PI534165,56.0,2017-06-15,904.0
MAC Field Scanner Season 4 Range 29 Column 8,29,8,33.0755540100909,-111.974933396451,MAC Season 4: BAP water-deficit stress Aug 1-14,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",PI641807,72.0,2017-07-01,1296.0
MAC Field Scanner Season 4 Range 31 Column 8,31,8,33.0756258943379,-111.974933429403,MAC Season 4: BAP water-deficit stress Aug 1-14,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",PI641821,68.0,2017-06-27,1204.0
MAC Field Scanner Season 4 Range 29 Column 7,29,7,33.0755540047663,-111.974949765721,MAC Season 4: BAP water-deficit stress Aug 1-14,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",PI641824,70.0,2017-06-29,1250.0
MAC Field Scanner Season 4 Range 38 Column 6,38,6,33.0758774783178,-111.97496628329701,MAC Season 4: BAP water-deficit stress Aug 1-14,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",PI535783,62.0,2017-06-21,1050.0
MAC Field Scanner Season 4 Range 46 Column 5,46,5,33.0761650097732,-111.97498278457701,MAC Season 4: BAP water-deficit stress Aug 1-14,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",PI535796,62.0,2017-06-21,1050.0
MAC Field Scanner Season 4 Range 46 Column 7,46,7,33.076165020432704,-111.97495004586399,MAC Season 4: BAP water-deficit stress Aug 1-14,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",PI534120,70.0,2017-06-29,1250.0
MAC Field Scanner Season 4 Range 51 Column 7,51,7,33.0763447308958,-111.974950128258,MAC Season 4: BAP water-deficit stress Aug 1-14,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",PI641830,48.0,2017-06-07,757.0
MAC Field Scanner Season 4 Range 11 Column 3,11,3,33.074907025738,-111.975014945819,MAC Season 4: BAP water-deficit stress Aug 15-30,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",PI655978,64.0,2017-06-23,1100.0
MAC Field Scanner Season 4 Range 9 Column 14,9,14,33.0748351999574,-111.97483485241699,MAC Season 4: BAP water-deficit stress Aug 15-30,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",Unknown off type,50.0,2017-06-09,799.0
MAC Field Scanner Season 4 Range 12 Column 9,12,9,33.0749429997679,-111.97491674740299,MAC Season 4: BAP water-deficit stress Aug 15-30,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",PI35038,68.0,2017-06-27,1204.0
MAC Field Scanner Season 4 Range 11 Column 14,11,14,33.074907084169396,-111.974834885219,MAC Season 4: BAP water-deficit stress Aug 15-30,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",PI535794,62.0,2017-06-21,1050.0
MAC Field Scanner Season 4 Range 31 Column 11,31,11,33.075625910232,-111.97488432155599,MAC Season 4: BAP water-deficit stress Aug 15-30,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",PI641817,56.0,2017-06-15,904.0
MAC Field Scanner Season 4 Range 32 Column 10,32,10,33.0756618470595,-111.974900707299,MAC Season 4: BAP water-deficit stress Aug 15-30,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",Unknown off type,50.0,2017-06-09,799.0
MAC Field Scanner Season 4 Range 43 Column 11,43,11,33.0760572154091,-111.974884518946,MAC Season 4: BAP water-deficit stress Aug 15-30,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",PI167093,77.0,2017-07-06,1420.0
MAC Field Scanner Season 4 Range 46 Column 4,46,4,33.0761650044401,-111.97499915396001,MAC Season 4: BAP water-deficit stress Aug 15-30,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",PI576401,77.0,2017-07-06,1420.0
MAC Field Scanner Season 4 Range 51 Column 9,51,9,33.0763447415484,-111.97491738942499,MAC Season 4: BAP water-deficit stress Aug 15-30,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",PI641862,58.0,2017-06-17,946.0
MAC Field Scanner Season 4 Range 20 Column 7,20,7,33.075230525893396,-111.974949617458,MAC Season 4: BAP water-deficit stress Aug 1-14,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",PI576401,77.0,2017-07-06,1420.0
MAC Field Scanner Season 4 Range 20 Column 6,20,6,33.0752305205902,-111.974965986664,MAC Season 4: BAP water-deficit stress Aug 1-14,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",PI534120,72.0,2017-07-01,1296.0
MAC Field Scanner Season 4 Range 20 Column 3,20,3,33.0752305046456,-111.975015094294,MAC Season 4: BAP water-deficit stress Aug 15-30,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",PI656026,62.0,2017-06-21,1050.0
MAC Field Scanner Season 4 Range 27 Column 12,27,12,33.0754821471636,-111.974867886528,MAC Season 4: BAP water-deficit stress Aug 15-30,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",PI535783,62.0,2017-06-21,1050.0
MAC Field Scanner Season 4 Range 33 Column 14,33,14,33.0756978103766,-111.974835246571,MAC Season 4: BAP water-deficit stress Aug 15-30,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",PI196586,77.0,2017-07-06,1420.0
MAC Field Scanner Season 4 Range 31 Column 13,31,13,33.0756259208397,-111.974851582985,MAC Season 4: BAP water-deficit stress Aug 15-30,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",PI641807,70.0,2017-06-29,1250.0
MAC Field Scanner Season 4 Range 50 Column 13,50,13,33.0763088206622,-111.974851895361,MAC Season 4: BAP water-deficit stress Aug 15-30,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",PI52606,62.0,2017-06-21,1050.0
MAC Field Scanner Season 4 Range 20 Column 13,20,13,33.075230557778895,-111.974851402246,MAC Season 4: BAP water-deficit stress Aug 15-30,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",PI533902,70.0,2017-06-29,1250.0
MAC Field Scanner Season 4 Range 18 Column 12,18,12,33.075158668281105,-111.974867738563,MAC Season 4: BAP water-deficit stress Aug 15-30,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",PI655981,56.0,2017-06-15,904.0
MAC Field Scanner Season 4 Range 18 Column 15,18,15,33.075158684144505,-111.974818630975,MAC Season 4: BAP water-deficit stress Aug 15-30,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",PI218112,48.0,2017-06-07,757.0
MAC Field Scanner Season 4 Range 19 Column 12,19,12,33.075194610385104,-111.974867755012,MAC Season 4: BAP water-deficit stress Aug 15-30,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",PI167093,77.0,2017-07-06,1420.0
MAC Field Scanner Season 4 Range 18 Column 9,18,9,33.0751586523535,-111.97491684615801,MAC Season 4: BAP water-deficit stress Aug 15-30,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",PI535785,77.0,2017-07-06,1420.0
MAC Field Scanner Season 4 Range 21 Column 15,21,15,33.0752665104791,-111.97481868025,MAC Season 4: BAP water-deficit stress Aug 15-30,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",PI329632,70.0,2017-06-29,1250.0
MAC Field Scanner Season 4 Range 24 Column 2,24,2,33.0753742677192,-111.975031529501,MAC Season 4: BAP water-deficit stress Aug 15-30,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",PI641815,77.0,2017-07-06,1420.0
MAC Field Scanner Season 4 Range 27 Column 4,27,4,33.0754821046229,-111.97499884052799,MAC Season 4: BAP water-deficit stress Aug 15-30,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",PI641835,77.0,2017-07-06,1420.0
MAC Field Scanner Season 4 Range 24 Column 8,24,8,33.075374299604604,-111.974933314134,MAC Season 4: BAP water-deficit stress Aug 1-14,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",PI535795,62.0,2017-06-21,1050.0
MAC Field Scanner Season 4 Range 10 Column 6,10,6,33.074871099569,-111.97496582191401,MAC Season 4: BAP water-deficit stress Aug 1-14,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",PI179749,50.0,2017-06-09,799.0
MAC Field Scanner Season 4 Range 18 Column 5,18,5,33.0751586310393,-111.974982322918,MAC Season 4: BAP water-deficit stress Aug 1-14,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",PI656035,70.0,2017-06-29,1250.0
MAC Field Scanner Season 4 Range 38 Column 7,38,7,33.0758774836627,-111.97494991399401,MAC Season 4: BAP water-deficit stress Aug 1-14,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",PI157804,50.0,2017-06-09,799.0
